Seq,Stamp_secs,Stamp_nsecs,Frame_ID,Voltage,Temperature,Current,Charge,Capacity,Design_Capacity,Percentage,Power_Supply_Status,Power_Supply_Health,Power_Supply_Technology,Present,Cell_Voltage_1,Cell_Voltage_2,Cell_Voltage_3,Cell_Voltage_4
711,1690133111,578853955,,4.188000202178955,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404
712,1690133112,580694158,,4.184000015258789,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
713,1690133113,579106565,,4.192999839782715,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0399999618530273,1.0399999618530273,1.0399999618530273,1.0399999618530273
714,1690133114,580188768,,4.191999912261963,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404
715,1690133115,578919471,,4.195000171661377,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0449999570846558,1.0449999570846558,1.0449999570846558,1.0449999570846558
716,1690133116,578035193,,4.202000141143799,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
717,1690133117,580933711,,4.206999778747559,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0490000247955322,1.0490000247955322,1.0490000247955322,1.0490000247955322
718,1690133118,577943470,,4.206999778747559,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
719,1690133119,581038691,,4.190000057220459,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0399999618530273,1.0399999618530273,1.0399999618530273,1.0399999618530273
720,1690133120,577730950,,4.203000068664551,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
721,1690133121,578074301,,4.204999923706055,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
722,1690133122,578870189,,4.201000213623047,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
723,1690133123,577558967,,4.197999954223633,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0509999990463257,1.0509999990463257,1.0509999990463257,1.0509999990463257
724,1690133124,576825985,,4.201000213623047,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.059999942779541,1.059999942779541,1.059999942779541,1.059999942779541
725,1690133125,576279391,,4.203000068664551,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404
726,1690133126,579774483,,4.197000026702881,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.024999976158142,1.024999976158142,1.024999976158142,1.024999976158142
727,1690133127,578903742,,4.203000068664551,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0579999685287476,1.0579999685287476,1.0579999685287476,1.0579999685287476
728,1690133128,578113316,,4.210999965667725,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
729,1690133129,580661648,,4.201000213623047,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0449999570846558,1.0449999570846558,1.0449999570846558,1.0449999570846558
730,1690133130,577144666,,4.186999797821045,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0379999876022339,1.0379999876022339,1.0379999876022339,1.0379999876022339
731,1690133131,576261666,,4.184999942779541,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
